feat,correl_type,value
CnnCrispr (Classification),Spearman,-0.46783467397599565
CRISPR-Net,Spearman,-0.4559386973180077
CRISPRoff,Spearman,-0.37438423645320196
CRISPR-Net,Pearson,-0.3612978099162955
CnnCrispr (Classification),Pearson,-0.35220752889775186
CRISPRoff,Pearson,-0.20003098657719282
CFD,Spearman,0.21826651699172245
CFD,Pearson,0.267982531944656
DeepCRISPR,Spearman,0.3305966064586754
DeepCRISPR,Pearson,0.3459658426487388
uCRISPR,Spearman,0.3470169677066229
uCRISPR,Pearson,0.4526921978154226
CNN_std,Spearman,0.6217843459222769
CNN_std,Pearson,0.6801681199771445
SpCas9KineticModel,Spearman,0.774486938133993
SpCas9KineticModel,Pearson,0.8226567859653443
Nanoenv-Cas9-WNA,Spearman,0.9593360322933769
Nanoenv-Cas9-WNA,Pearson,0.9802965590985614
